timestamp,location-long,location-lat,sensor-type,individual-local-identifier
01:00.0,-75.468582,4.721217,gps,1(T5H-1363)
01:00.0,-75.468555,4.721055,gps,1(T5H-1363)
01:00.0,-75.468458,4.720855,gps,1(T5H-1363)
01:00.0,-75.46866,4.721,gps,1(T5H-1363)
01:00.0,-75.468872,4.721113,gps,1(T5H-1363)
01:00.0,-75.468732,4.721075,gps,1(T5H-1363)
01:00.0,-75.468755,4.720965,gps,1(T5H-1363)
30:00.0,-75.468487,4.721073,gps,1(T5H-1363)
01:00.0,-75.468737,4.720993,gps,1(T5H-1363)
30:00.0,-75.468483,4.72078,gps,1(T5H-1363)
01:00.0,-75.468722,4.720807,gps,1(T5H-1363)
30:00.0,-75.468757,4.720837,gps,1(T5H-1363)
00:00.0,-75.468892,4.720632,gps,1(T5H-1363)
30:00.0,-75.468658,4.721772,gps,1(T5H-1363)
01:00.0,-75.468113,4.721027,gps,1(T5H-1363)
31:00.0,-75.46966,4.721953,gps,1(T5H-1363)
30:00.0,-75.468753,4.720892,gps,1(T5H-1363)
01:00.0,-75.467663,4.720675,gps,1(T5H-1363)
01:00.0,-75.468822,4.720725,gps,1(T5H-1363)
31:00.0,-75.467438,4.720708,gps,1(T5H-1363)
30:00.0,-75.467503,4.72096,gps,1(T5H-1363)
01:00.0,-75.469487,4.720697,gps,1(T5H-1363)
31:00.0,-75.469483,4.720697,gps,1(T5H-1363)
00:00.0,-75.469283,4.721682,gps,1(T5H-1363)
01:00.0,-75.470142,4.72061,gps,1(T5H-1363)
01:00.0,-75.470995,4.723498,gps,1(T5H-1363)
00:00.0,-75.4701,4.721148,gps,1(T5H-1363)
30:00.0,-75.472148,4.721238,gps,1(T5H-1363)
01:00.0,-75.46839,4.721877,gps,1(T5H-1363)
30:00.0,-75.468483,4.721503,gps,1(T5H-1363)
00:00.0,-75.469258,4.721797,gps,1(T5H-1363)
31:00.0,-75.46892,4.720983,gps,1(T5H-1363)
01:00.0,-75.468322,4.721172,gps,1(T5H-1363)
00:00.0,-75.469283,4.72249,gps,1(T5H-1363)
30:00.0,-75.464838,4.71925,gps,1(T5H-1363)
01:00.0,-75.469633,4.720732,gps,1(T5H-1363)
30:00.0,-75.470495,4.720818,gps,1(T5H-1363)
31:00.0,-75.470095,4.72031,gps,1(T5H-1363)
31:00.0,-75.46912,4.720818,gps,1(T5H-1363)
30:00.0,-75.466788,4.719985,gps,1(T5H-1363)
01:00.0,-75.470132,4.720563,gps,1(T5H-1363)
30:00.0,-75.470465,4.720827,gps,1(T5H-1363)
01:00.0,-75.469303,4.721972,gps,1(T5H-1363)
31:00.0,-75.462233,4.716573,gps,1(T5H-1363)
31:00.0,-75.468933,4.72162,gps,1(T5H-1363)
31:00.0,-75.46856,4.72153,gps,1(T5H-1363)
01:00.0,-75.470493,4.720955,gps,1(T5H-1363)
