event-id,visible,timestamp,location-long,location-lat,gps:dop,gps-time-to-fix,height-above-msl,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
3401862964,true,2007-03-24 08:00:00.000,-75.467792,4.728707,1.8,42.0,2967.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862965,true,2007-03-24 08:30:00.000,-75.467343,4.728345,1.9,15.0,3319.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862966,true,2007-03-24 09:00:00.000,-75.469157,4.728965,3.2,56.0,3319.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862967,true,2007-03-24 09:30:00.000,-75.468,4.728895,3.4,15.0,2978.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862968,true,2007-03-24 10:00:00.000,-75.467842,4.728722,4.6,53.0,0.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862969,true,2007-03-24 10:30:00.000,-75.467668,4.72873,1.4,42.0,2977.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862970,true,2007-03-24 11:00:00.000,-75.467822,4.728732,1.9,18.0,2950.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862971,true,2007-03-24 11:30:00.000,-75.467777,4.729133,2.0,16.0,2950.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862972,true,2007-03-24 12:00:00.000,-75.467773,4.729475,2.1,26.0,2949.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862973,true,2007-03-24 12:30:00.000,-75.467955,4.729553,2.1,18.0,3033.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862974,true,2007-03-24 13:00:00.000,-75.467955,4.729168,3.1,33.0,3033.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862975,true,2007-03-24 13:30:00.000,-75.468533,4.729252,6.2,57.0,3013.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862976,true,2007-03-24 14:00:00.000,-75.468423,4.72946,14.4,27.0,0.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862977,true,2007-03-24 14:30:00.000,-75.468383,4.72938,1.4,56.0,2913.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862978,true,2007-03-24 15:30:00.000,-75.46797,4.728528,2.8,42.0,2913.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
