timestamp,location-long,location-lat,sensor-type,individual-local-identifier
00:00.0,-115.68793,51.57178,gps,85
00:00.0,-115.66735,51.58221,gps,85
00:00.0,-115.66784,51.5823,gps,85
00:00.0,-115.6957,51.56912,gps,85
00:00.0,-115.6678,51.58221,gps,85
00:00.0,-115.67271,51.58091,gps,85
00:00.0,-115.67397,51.58243,gps,85
00:00.0,-115.67391,51.58236,gps,85
00:00.0,-115.67336,51.58247,gps,85
00:00.0,-115.66768,51.58267,gps,85
00:00.0,-115.66581,51.58927,gps,85
00:00.0,-115.65248,51.59609,gps,85
00:00.0,-115.66681,51.58227,gps,85
00:00.0,-115.66696,51.5822,gps,85
00:00.0,-115.66889,51.58149,gps,85
00:00.0,-115.71894,51.55218,gps,85
00:00.0,-115.72062,51.53788,gps,85
00:00.0,-115.72044,51.53777,gps,85
00:00.0,-115.72064,51.53788,gps,85
00:00.0,-115.68679,51.56805,gps,85
00:00.0,-115.66309,51.58039,gps,85
00:00.0,-115.66712,51.58245,gps,85
00:00.0,-115.6733,51.60732,gps,85
00:00.0,-115.6871,51.5904,gps,85
00:00.0,-115.61286,51.6056,gps,85
00:00.0,-115.47742,51.62326,gps,85
00:00.0,-115.4949,51.60989,gps,85
00:00.0,-115.48381,51.63301,gps,85
00:00.0,-115.58478,51.6279,gps,85
00:00.0,-115.66788,51.58241,gps,85
00:00.0,-115.67072,51.58414,gps,85
00:00.0,-115.6707,51.58391,gps,85
00:00.0,-115.66744,51.58225,gps,85
00:00.0,-115.66689,51.58213,gps,85
00:00.0,-115.66497,51.58169,gps,85
00:00.0,-115.6516,51.60935,gps,85
00:00.0,-115.58292,51.61983,gps,85
00:00.0,-115.51251,51.63911,gps,85
00:00.0,-115.48064,51.62999,gps,85
00:00.0,-115.47752,51.62962,gps,85
00:00.0,-115.484,51.61979,gps,85
00:00.0,-115.496,51.61184,gps,85
00:00.0,-115.49622,51.6117,gps,85
00:00.0,-115.49622,51.61171,gps,85
